drug,symptom,indication
U679,C0398650,0.0
U898,C0235153,0.0
U829,C0011570,1.0
U802,C0010200,1.0
U164,C0026837,0.0
U382,C0018681,1.0
U958,C0751295,0.0
U325,C0022346,1.0
U930,C0011991,1.0
U397,C3668816,0.0
U1010,C0020796,1.0
U452,C0021368,1.0
U701,C0035455,0.0
U771,C0032914,0.0
U784,C0010200,1.0
U598,C0011991,0.0
U446,C2931205,0.0
U602,C0013604,1.0
U168,C0237326,1.0
U958,C0235153,0.0
U210,C0003862,0.0
U870,C3203358,0.0
U1039,C0231791,0.0
U971,C0020538,0.0
U962,C0020505,0.0
U790,C0010200,1.0
U372,C0011991,1.0
U315,C0162298,0.0
U501,C0023186,0.0
U454,C0033774,1.0
U486,C0003578,0.0
U216,C0020429,1.0
U95,C0020429,1.0
U858,C0030193,1.0
U396,C0020429,1.0
U120,C0018681,1.0
U417,C0032285,1.0
U504,C0032285,1.0
U48,C0023530,0.0
U771,C0746674,0.0
U439,C0013404,0.0
U222,C0152031,0.0
U557,C0020538,0.0
U279,C0032617,0.0
U488,C0011991,1.0
U351,C0020429,1.0
U920,C0023530,0.0
U628,C0010200,1.0
U190,C0026838,0.0
U826,C0042963,1.0
U979,C0000737,1.0
U1006,C0023015,0.0
U895,C1963154,0.0
U505,C0009806,1.0
U455,C0013604,1.0
U164,C0042963,1.0
U840,C0032617,0.0
U903,C0018780,0.0
U598,C0036572,0.0
U945,C1568249,0.0
U861,C0000737,1.0
U648,C0235153,0.0
U570,C0162298,0.0
U312,C0237326,1.0
U273,C0015967,1.0
U55,C0086437,0.0
U963,C0030193,1.0
U650,C0010200,1.0
U950,C0013604,1.0
U74,C2364082,0.0
U637,C0015230,1.0
U83,C0010200,1.0
U223,C0020305,0.0
U607,C0000737,1.0
U963,C0039070,1.0
U650,C0018989,1.0
U640,C0037317,0.0
U776,C0020429,1.0
U614,C0234378,0.0
U110,C0013604,1.0
U247,C0020429,1.0
U51,C0018784,0.0
U228,C0022541,0.0
U744,C0015967,1.0
U802,C0851578,0.0
U44,C0033774,1.0
U1013,C0026826,0.0
U696,C0009460,0.0
U104,C0039070,1.0
U532,C0013595,1.0
U601,C0018776,0.0
U772,C0851578,1.0
U335,C0023530,0.0
U966,C0022116,0.0
U447,C0030193,1.0
U776,C0042963,1.0
U103,C0030193,1.0
U755,C0018681,0.0
U351,C0030193,1.0
U101,C0016382,0.0
U76,C0009806,1.0
U779,C0241210,0.0
U590,C0009398,0.0
U473,C0456909,0.0
U305,C0178417,0.0
U496,C0032285,1.0
U3,C1384666,0.0
U353,C0019214,0.0
U32,C0019214,0.0
U735,C0018681,1.0
U840,C0022541,0.0
U753,C0020429,0.0
U147,C0026846,0.0
U606,C0026821,0.0
U262,C0427190,0.0
U40,C0235153,0.0
U774,C0023012,0.0
U752,C0234132,0.0
U201,C0027066,0.0
U275,C0005745,0.0
U815,C0241210,0.0
U211,C0020429,1.0
U302,C0456909,0.0
U382,C0000737,1.0
U129,C0033377,0.0
U189,C0030486,0.0
U184,C0003126,0.0
U672,C0022346,0.0
U88,C0008031,1.0
U360,C0030193,1.0
U142,C0010200,1.0
U462,C0011991,1.0
U597,C0039070,1.0
U670,C0015230,1.0
U866,C0030232,0.0
U40,C0013421,0.0
U730,C0030193,1.0
U165,C0042963,1.0
U231,C1691779,0.0
U286,C0000737,1.0
U4,C0022346,1.0
U128,C0005779,0.0
U522,C0019214,0.0
U118,C0011991,1.0
U339,C0020429,1.0
U234,C0030193,1.0
U818,C0020429,1.0
U382,C0010200,1.0
U898,C0234378,0.0
U755,C0020305,0.0
U558,C0015967,1.0
U606,C0042571,1.0
U380,C0042963,1.0
U190,C0013604,0.0
U849,C0030193,1.0
U327,C0042384,0.0
U117,C0003126,1.0
U834,C0011991,1.0
U594,C0036572,1.0
U837,C0011991,1.0
U271,C0023380,0.0
U360,C0020429,1.0
U418,C0026846,0.0
U610,C0030486,0.0
U255,C3552463,0.0
U838,C0338591,0.0
U204,C0476254,0.0
U454,C0234132,0.0
U610,C0042963,1.0
U653,C0018834,0.0
U86,C0030193,1.0
U223,C0002103,0.0
U558,C0020429,1.0
U347,C0476254,0.0
U512,C0231835,0.0
U735,C0000737,1.0
U396,C0008031,1.0
U859,C0020429,1.0
U1042,C0026846,0.0
U297,C0020429,1.0
U282,C0221263,0.0
U314,C0013604,1.0
U390,C0973461,0.0
U214,C0231807,0.0
U697,C0086132,0.0
U970,C0033377,0.0
U443,C0013404,0.0
U434,C0456909,0.0
U496,C0022346,1.0
U1043,C0338591,0.0
U504,C0003635,0.0
U6,C1145670,0.0
U503,C0030193,1.0
U212,C1836296,0.0
U110,C0022346,1.0
U622,C0151908,0.0
U206,C0020429,1.0
U439,C0019825,1.0
U70,C0030193,1.0
U262,C0700078,0.0
U367,C0270948,0.0
U20,C4020887,0.0
U62,C0030193,1.0
U197,C0086132,0.0
U37,C0013604,1.0
U262,C0010200,1.0
U475,C0030193,1.0
U597,C0042571,1.0
U509,C0221263,0.0
U170,C0042963,1.0
U160,C0020429,1.0
U892,C0008031,1.0
U383,C0020429,1.0
U1038,C0018989,0.0
U648,C0152200,0.0
U35,C0028754,0.0
U590,C0010200,1.0
U477,C0009806,0.0
U447,C0020429,1.0
U631,C0030193,1.0
U266,C0013421,0.0
U627,C0030193,1.0
U338,C0030193,1.0
U412,C0030193,1.0
U674,C0013604,1.0
U343,C1262477,0.0
U805,C0456909,0.0
U423,C0014118,0.0
U308,C0013421,0.0
U327,C0018681,0.0
U790,C0031154,0.0
U287,C0008489,0.0
U104,C0020429,1.0
U803,C0013604,1.0
U523,C0023530,0.0
U64,C0003862,0.0
U214,C0009806,1.0
U636,C0020429,1.0
U240,C0013595,0.0
U973,C0020429,1.0
U393,C0000737,1.0
U338,C0023012,0.0
U644,C0030193,1.0
U903,C0234376,0.0
U1038,C0476254,0.0
U90,C0030193,1.0
U102,C0030193,1.0
U524,C0012833,1.0
U159,C0152031,0.0
U262,C1963137,0.0
U696,C0020429,1.0
U733,C0003123,1.0
U1043,C0008031,0.0
U544,C3668816,0.0
U649,C0032285,1.0
U856,C0020429,1.0
U381,C0233565,0.0
U396,C0030193,1.0
U795,C0030193,1.0
U460,C0020429,1.0
U630,C0030193,1.0
U447,C0019825,1.0
U115,C0030193,0.0
U6,C0851578,1.0
U777,C0003862,0.0
U262,C0030193,1.0
U941,C0032285,1.0
U391,C0013595,0.0
U6,C0231835,0.0
U810,C0699731,0.0
U871,C0009460,0.0
U56,C0020429,1.0
U164,C0002418,0.0
U903,C0009398,0.0
U440,C1860844,0.0
U663,C0033377,0.0
U698,C1963137,0.0
U951,C0030193,1.0
U638,C0033774,1.0
U990,C0023530,0.0
U659,C0011991,1.0
U772,C0023380,1.0
U406,C0042963,0.0
U1043,C0011570,0.0
U599,C0003578,0.0
U539,C0010200,1.0
U834,C0020429,1.0
U70,C0013595,1.0
U171,C0231835,1.0
U146,C0032285,1.0
U683,C0231791,0.0
U656,C3552463,0.0
U612,C0000737,1.0
U958,C0476254,0.0
U108,C0000737,1.0
U419,C0162674,0.0
U338,C0011991,1.0
U617,C0032285,0.0
U160,C0030193,1.0
U47,C0037317,0.0
U94,C0234144,0.0
U382,C0030193,1.0
U484,C0010200,1.0
U629,C0000737,1.0
U447,C0237326,1.0
U346,C0020429,1.0
U304,C0851578,0.0
U706,C0178417,0.0
U734,C0015967,0.0
U871,C0026846,0.0
U693,C0008489,0.0
U488,C0033377,0.0
U705,C3668816,0.0
U650,C0542476,1.0
U649,C2364082,0.0
U797,C0018776,0.0
U454,C0030193,1.0
U232,C0003862,1.0
U70,C0023380,0.0
U394,C0042384,0.0
U951,C0020429,1.0
U297,C0151908,0.0
U511,C0042798,0.0
U317,C0542476,0.0
U134,C0007758,0.0
U189,C0032617,0.0
U638,C0020429,1.0
U217,C0020796,0.0
U409,C0014118,0.0
U1039,C0002418,0.0
U390,C0011991,1.0
U56,C0155320,0.0
U425,C0231835,0.0
U892,C0010200,1.0
U403,C0022346,1.0
U944,C0851578,1.0
U622,C0021359,1.0
U455,C0237326,1.0
U161,C0234144,0.0
U977,C0086132,1.0
U691,C0240735,0.0
U380,C0973461,0.0
U76,C0030193,1.0
U383,C0022346,1.0
U953,C0000737,1.0
U779,C0030193,1.0
U999,C0011991,1.0
U319,C0039070,0.0
U818,C0000737,1.0
U10,C0009806,1.0
U416,C3668816,0.0
U959,C0033774,1.0
U530,C0973461,0.0
U560,C0086132,1.0
U114,C0231807,0.0
U841,C0036572,0.0
U382,C0042963,1.0
U994,C0009806,1.0
U380,C0030193,1.0
U584,C0000737,1.0
U388,C0231712,0.0
U234,C0042963,1.0
U911,C0338591,0.0
U106,C0010200,1.0
U150,C0042024,0.0
U32,C0005779,0.0
U54,C0018777,0.0
U48,C0427055,0.0
U672,C0021359,0.0
U587,C0009421,0.0
U1010,C0162674,0.0
U970,C0020615,0.0
U901,C0030193,1.0
U271,C0023530,0.0
U24,C0030193,1.0
U135,C0032617,1.0
U899,C0030193,1.0
U87,C0011991,1.0
U623,C0020615,0.0
U131,C0003123,0.0
U323,C1836296,0.0
U956,C0033687,0.0
U34,C0010200,1.0
U826,C0020429,1.0
U52,C0037317,0.0
U613,C0398650,0.0
U169,C0026826,0.0
U1031,C0009806,1.0
U524,C0013604,1.0
U443,C0033774,1.0
U691,C1963137,0.0
U148,C0015672,0.0
U347,C0271097,0.0
U282,C0039070,1.0
U1012,C0700078,0.0
U629,C0011991,1.0
U399,C0008031,1.0
U954,C0003635,0.0
U114,C0013404,0.0
U439,C0020429,1.0
U489,C0002418,0.0
U147,C0013404,1.0
U234,C0022346,1.0
U375,C0022346,1.0
U528,C0023380,0.0
U188,C0020429,1.0
U582,C0015967,1.0
U88,C0009421,0.0
U700,C0021359,1.0
U662,C0085636,1.0
U759,C0026837,0.0
U395,C0019572,0.0
U76,C0206160,0.0
U644,C0022346,1.0
U918,C0000737,1.0
U87,C0012833,1.0
U363,C0035078,0.0
U858,C0008031,1.0
U199,C0023530,0.0
U638,C0086132,0.0
U168,C0042798,0.0
U360,C0237326,1.0
U738,C0002622,0.0
U372,C0039070,1.0
U536,C2364082,0.0
U999,C0008031,1.0
U834,C0042963,1.0
U438,C0162674,0.0
U120,C0008031,1.0
U890,C0020429,1.0
U207,C0013595,1.0
U417,C0010200,1.0
U156,C0020429,1.0
U706,C0011991,0.0
U289,C0241210,0.0
U941,C0086565,0.0
U335,C0231835,1.0
U460,C0000737,1.0
U88,C0235153,0.0
U649,C0010200,1.0
U803,C3203358,0.0
U948,C0020538,0.0
U117,C0042963,0.0
U530,C0018681,1.0
U96,C0030232,0.0
U236,C0013604,1.0
U110,C0019825,0.0
U582,C0020429,1.0
U406,C0037317,0.0
U614,C0020429,1.0
U558,C0018681,0.0
U136,C0746674,0.0
U440,C0030193,1.0
U251,C0018989,0.0
U162,C0237326,1.0
U758,C0011991,0.0
U45,C0178417,0.0
U533,C0010200,1.0
U1042,C0026837,0.0
U730,C0020429,1.0
U700,C0020429,1.0
U667,C0240735,0.0
U350,C0026846,0.0
U682,C0036572,1.0
U323,C0018989,0.0
U528,C0026837,0.0
U467,C0013595,1.0
U59,C0032285,1.0
U789,C0010200,1.0
U721,C0237326,0.0
U709,C0030193,1.0
U322,C0028754,0.0
U178,C0018776,0.0
U477,C0000737,1.0
U179,C0040822,0.0
U512,C0151908,0.0
U212,C0023530,0.0
U479,C0030232,0.0
U340,C0020429,1.0
U45,C0012833,0.0
U630,C0040034,0.0
U649,C0028754,0.0
U363,C0020429,1.0
U995,C0009806,1.0
U597,C0030193,1.0
U713,C0020429,1.0
U1010,C0917816,1.0
U90,C0015967,1.0
U438,C0476254,0.0
U578,C0018681,1.0
U45,C0039070,0.0
U817,C0011991,1.0
U958,C0085636,0.0
U313,C0030193,1.0
U629,C0009806,0.0
U17,C0751265,0.0
U687,C0000737,1.0
U91,C0000737,1.0
U839,C0020429,0.0
U856,C0851578,1.0
U199,C0023014,0.0
U4,C2931205,0.0
U636,C2931205,0.0
U988,C0015644,0.0
U818,C0018776,0.0
U721,C0542476,1.0
U286,C0030486,0.0
U124,C0010200,1.0
U887,C0018777,0.0
U508,C0026846,0.0
U959,C0030193,1.0
U700,C0033774,1.0
U53,C0086437,0.0
U496,C0013595,1.0
U372,C0042963,1.0
U774,C0033774,0.0
U662,C0030193,1.0
U91,C0015967,1.0
U749,C0037317,0.0
U563,C0020796,0.0
U942,C0008031,0.0
U909,C0034150,0.0
U721,C0039070,1.0
U246,C0234133,0.0
U496,C0033774,1.0
U682,C0020538,0.0
U90,C0016382,0.0
U66,C0035078,0.0
U461,C4020887,0.0
U439,C0010200,1.0
U776,C0000737,1.0
U54,C0030193,1.0
U944,C0020429,1.0
U13,C0020429,1.0
U125,C0020429,1.0
U709,C0020429,1.0
U700,C0036572,1.0
U716,C0010200,1.0
U745,C0023186,0.0
U103,C0020429,1.0
U240,C0013604,1.0
U568,C0028756,0.0
U664,C0030193,1.0
U914,C0020429,1.0
U973,C0027498,0.0
U185,C0000737,1.0
U730,C0000737,1.0
U821,C0013491,1.0
U59,C0008031,1.0
U637,C0020429,1.0
U935,C0002622,0.0
U102,C0020429,1.0
U627,C0010200,1.0
U958,C0010200,1.0
U480,C0003123,0.0
U642,C0015672,0.0
U83,C0032285,1.0
U496,C0042798,0.0
U874,C0042024,0.0
U232,C0000737,1.0
U998,C0155320,0.0
U179,C1262477,0.0
U670,C0013604,1.0
U672,C0699731,0.0
U284,C0427190,0.0
U393,C0020429,1.0
U584,C0027498,0.0
U55,C0030193,1.0
U926,C0002622,0.0
U952,C0030193,1.0
U257,C0018989,0.0
U834,C0151825,0.0
U121,C0015230,0.0
U244,C0973461,0.0
U631,C0018681,1.0
U268,C0030193,1.0
U639,C0020429,1.0
U457,C0338591,0.0
U597,C0021368,0.0
U62,C0011991,1.0
U483,C0240735,0.0
U70,C0033774,1.0
U1041,C0234979,0.0
U566,C0020429,1.0
U351,C0033774,1.0
U956,C0003123,0.0
U829,C0086132,1.0
U766,C0023530,0.0
U741,C0030486,0.0
U77,C0008031,1.0
U519,C0231835,0.0
U624,C0035078,0.0
U945,C0013604,1.0
U446,C0030193,1.0
U127,C0022346,1.0
U995,C0022346,1.0
U6,C0039070,1.0
U62,C0020305,0.0
U625,C0020429,1.0
U118,C0000737,1.0
U155,C0008031,1.0
U59,C0237326,1.0
U627,C3552463,0.0
U479,C1384666,0.0
U205,C0008031,1.0
U363,C0011991,1.0
U945,C0011991,1.0
U950,C0015967,1.0
U1004,C0221263,0.0
U20,C0032617,0.0
U513,C0010200,1.0
U834,C0030193,1.0
U359,C0018681,1.0
U890,C0085636,0.0
U614,C0023530,0.0
U392,C0018681,0.0
U1032,C0020615,0.0
U602,C0973461,1.0
U1033,C0020796,0.0
U170,C0022346,1.0
U496,C0036572,1.0
U674,C0009421,0.0
U293,C0700078,0.0
U339,C1262477,0.0
U141,C0086132,0.0
U83,C0030193,1.0
U995,C0030193,1.0
U820,C0032617,0.0
U634,C0015967,1.0
U680,C0151908,0.0
U341,C0271097,0.0
U91,C3203358,0.0
U979,C0018834,0.0
U56,C0030193,1.0
U380,C0000737,1.0
U159,C0009398,0.0
U479,C0240735,0.0
U529,C0010200,1.0
U79,C0011991,0.0
U575,C0042963,0.0
U55,C0022346,1.0
U452,C0030193,1.0
U647,C0020429,1.0
U112,C2931205,0.0
U597,C0027498,0.0
U387,C0020429,1.0
U132,C0036572,0.0
U709,C0018681,1.0
U644,C0020429,1.0
U325,C0010200,1.0
U519,C0013604,1.0
U353,C0002103,0.0
U790,C0020429,1.0
U837,C0032285,1.0
U752,C0086565,0.0
U765,C0000737,1.0
U315,C0085636,0.0
U36,C0086437,0.0
U348,C0032914,0.0
U826,C0000737,1.0
U47,C0009806,1.0
U861,C0030193,1.0
U592,C0030193,1.0
U30,C0030193,1.0
U682,C0020429,1.0
U460,C0013595,0.0
U438,C0085636,0.0
U668,C0008031,1.0
U45,C0010200,1.0
U60,C2931205,0.0
U174,C0231835,0.0
U952,C0013404,0.0
U388,C0018681,0.0
U840,C0039070,0.0
U37,C1963137,0.0
U994,C0011991,1.0
U309,C0033687,0.0
U417,C0020429,1.0
U615,C0235153,0.0
U18,C0010200,1.0
U89,C0006271,0.0
U263,C0010200,1.0
U473,C0241210,0.0
U5,C0020429,1.0
U40,C0022346,1.0
U627,C0000737,1.0
U670,C1963137,0.0
U32,C0020615,0.0
U172,C0005779,0.0
U995,C0018834,1.0
U439,C0023530,0.0
U242,C0042963,1.0
U145,C0042024,0.0
U386,C0000737,1.0
U200,C0003123,0.0
U526,C0013595,1.0
U383,C0000737,1.0
U700,C3714756,0.0
U658,C0030193,1.0
U655,C0011991,0.0
U162,C0020429,1.0
U208,C0086565,0.0
U481,C0221263,0.0
U973,C0030193,1.0
U808,C0398650,0.0
U634,C0020429,1.0
U606,C0221263,0.0
U795,C0032285,1.0
U691,C0231528,0.0
U189,C0152200,0.0
U872,C0018681,1.0
U519,C0015644,0.0
U102,C0009806,0.0
U150,C0020429,1.0
U19,C0010200,1.0
U141,C0022346,1.0
U166,C0917816,0.0
U224,C1691779,0.0
U600,C0006271,0.0
U680,C0020429,1.0
U973,C0002622,0.0
U86,C0020429,1.0
U435,C0026837,0.0
U188,C0000737,1.0
U116,C0012833,1.0
U682,C0030193,1.0
U995,C0011991,1.0
U579,C0032285,1.0
U346,C0234378,0.0
U72,C0398650,0.0
U704,C4020887,0.0
U711,C0030193,1.0
U205,C0973461,1.0
U286,C0030193,1.0
U417,C0030193,1.0
U462,C0042963,1.0
U476,C0086132,1.0
U585,C0035229,0.0
U423,C0020429,1.0
U463,C0020429,1.0
U600,C0020505,0.0
U841,C0338591,0.0
U765,C0018989,1.0
U200,C0751837,0.0
U647,C0030193,1.0
U533,C0030193,1.0
U294,C0023186,0.0
U785,C1568248,0.0
U244,C0020429,1.0
U185,C0020429,1.0
U518,C0005745,0.0
U866,C0851578,0.0
U133,C0035078,0.0
U286,C0003862,1.0
U169,C0542476,0.0
U122,C0021368,0.0
U676,C0012833,1.0
U898,C0013595,1.0
U325,C0000737,1.0
U216,C0013595,1.0
U87,C0030193,1.0
U358,C0020455,0.0
U861,C0011991,1.0
U1033,C0010200,1.0
U597,C0018681,1.0
U87,C0020429,1.0
U302,C0231835,1.0
U375,C0085636,0.0
U455,C0010200,1.0
U650,C0020429,1.0
U162,C0000737,1.0
U391,C1838869,0.0
U1015,C0035229,0.0
U841,C0010200,1.0
U347,C0020538,0.0
U156,C0030193,1.0
U52,C0231712,0.0
U247,C0042963,1.0
U60,C0000737,0.0
U653,C0231712,0.0
U959,C1963137,0.0
U999,C0234133,0.0
U662,C0019572,0.0
U340,C0152200,0.0
U366,C0151786,0.0
U382,C0007758,0.0
U654,C0037317,0.0
U793,C0039070,1.0
U363,C0000737,0.0
U941,C0010200,1.0
U454,C0231835,0.0
U268,C1860844,0.0
U735,C0003862,0.0
U872,C0011991,1.0
U533,C0020429,1.0
U856,C0030193,1.0
U996,C0019825,0.0
U43,C0015967,0.0
U204,C0152031,0.0
U841,C0012833,1.0
U274,C0010200,1.0
U216,C0031154,0.0
U359,C0030193,1.0
U363,C0033774,1.0
U891,C0030193,1.0
U180,C0030193,1.0
U108,C0231835,0.0
U996,C0234378,0.0
U108,C0030193,1.0
U624,C2364082,0.0
U716,C0042963,1.0
U661,C0020429,1.0
U859,C0032914,0.0
U242,C0030193,1.0
U20,C0152031,1.0
U679,C0012833,1.0
U399,C0338591,0.0
U476,C0039070,1.0
U885,C0026826,0.0
U360,C0003862,0.0
U628,C0151786,1.0
U875,C0020429,1.0
U476,C0030193,1.0
U293,C0019214,0.0
U56,C0851578,0.0
U869,C0020429,1.0
U362,C0021368,0.0
U826,C0037315,0.0
U919,C0000737,1.0
U700,C0013595,1.0
U184,C0026838,0.0
U926,C0018777,0.0
U211,C0009806,1.0
U636,C0011991,1.0
U11,C0152200,0.0
U779,C0010200,1.0
U189,C0013604,1.0
U258,C0042963,1.0
U39,C0040034,0.0
U670,C0000737,1.0
U504,C0018834,1.0
U884,C0221263,0.0
U214,C0237326,1.0
U859,C0751837,0.0
U803,C0015967,1.0
U314,C0012833,1.0
U37,C0011991,1.0
U287,C0271097,0.0
U146,C0015967,1.0
U375,C0851578,1.0
U753,C1836296,0.0
U757,C0018681,0.0
U470,C0003862,1.0
U90,C0020429,1.0
U242,C0020429,1.0
U164,C0973461,0.0
U161,C1860844,0.0
U560,C0042963,1.0
U230,C0086132,1.0
U858,C0023380,1.0
U859,C0042571,1.0
U935,C0014118,0.0
U305,C0003123,0.0
U207,C0020429,1.0
U129,C0151908,1.0
U622,C0014335,0.0
U951,C0010200,1.0
U231,C0032285,0.0
U575,C0030193,1.0
U834,C0018681,1.0
U767,C0237326,1.0
U582,C1963137,0.0
U738,C0021368,0.0
U37,C0010200,1.0
U971,C0030193,1.0
U536,C3714756,0.0
U611,C0018989,0.0
U74,C0152031,0.0
U668,C0021359,0.0
U826,C0008031,0.0
U195,C0021368,0.0
U544,C0019214,1.0
U141,C0013604,1.0
U366,C0019214,0.0
U958,C0020429,1.0
U984,C0973461,0.0
U858,C0018681,1.0
U338,C1262477,0.0
U133,C1691779,0.0
U53,C0028754,0.0
U529,C0009806,1.0
U242,C0018681,1.0
U171,C0020796,0.0
U730,C0023012,0.0
U770,C0016382,0.0
U454,C0020429,1.0
U661,C0008031,1.0
U468,C0241210,0.0
U399,C4020887,0.0
U584,C0026837,0.0
U230,C0456909,0.0
U367,C0003113,0.0
U513,C0008489,0.0
U623,C0022346,1.0
U425,C0011991,1.0
U6,C0030193,1.0
U146,C0039070,1.0
U524,C0030193,1.0
U399,C0020429,1.0
U734,C0231528,0.0
U891,C0010200,1.0
U686,C0028754,0.0
U292,C0152200,0.0
U234,C0010200,1.0
U86,C0018681,1.0
U150,C0008031,1.0
U1013,C0023014,0.0
U432,C0003113,0.0
U302,C0005745,0.0
U596,C0270948,0.0
U315,C0008031,0.0
U544,C0003862,1.0
U435,C2364082,0.0
U237,C0040034,0.0
U1019,C0023015,0.0
U911,C0039070,1.0
U705,C1145670,0.0
U117,C1568248,0.0
U442,C0020429,1.0
U1012,C0009421,1.0
U748,C0020429,1.0
U559,C0000737,1.0
U483,C1691779,0.0
U776,C0008031,1.0
U340,C0000737,1.0
U982,C0040034,0.0
U169,C0042963,0.0
U225,C0151825,0.0
U839,C0751295,0.0
U248,C0010200,1.0
U921,C0020538,0.0
U367,C0542476,0.0
U890,C0005779,0.0
U274,C0008031,1.0
U124,C0019214,1.0
U451,C0018776,0.0
U693,C0231712,0.0
U18,C0026826,0.0
U937,C0234376,0.0
U349,C0022346,1.0
U430,C0020429,1.0
U818,C0030193,1.0
