drug,symptom,indication
U469,C0006271,0.0
U236,C0020429,1.0
U921,C1384666,0.0
U991,C0028756,0.0
U349,C0010200,1.0
U121,C0700078,0.0
U273,C0022346,1.0
U47,C0085636,0.0
U650,C0042963,1.0
U216,C0030193,1.0
U420,C0241210,0.0
U1042,C0037317,0.0
U211,C0013604,1.0
U383,C0030193,1.0
U456,C0005745,0.0
U860,C0042798,1.0
U45,C0020429,1.0
U279,C0030193,1.0
U496,C0020429,1.0
U257,C0011991,0.0
U232,C0018780,0.0
U567,C0023530,0.0
U242,C0013604,1.0
U867,C0018834,1.0
U679,C0030193,1.0
U1025,C0013595,1.0
U255,C0231807,0.0
U852,C0003113,0.0
U437,C0476273,0.0
U501,C0008489,0.0
U901,C0020429,1.0
U751,C0011570,0.0
U14,C0019572,0.0
U194,C0020615,0.0
U240,C1262477,0.0
U287,C0086132,0.0
U430,C0018681,1.0
U569,C0000737,0.0
U842,C0206160,0.0
U631,C0009460,0.0
U601,C0021359,0.0
U999,C0009806,1.0
U196,C0013491,1.0
U861,C0002622,0.0
U63,C0000737,1.0
U177,C0039070,0.0
U115,C0013404,0.0
U644,C0042963,0.0
U70,C0020429,1.0
U62,C0008031,1.0
U901,C0010200,1.0
U160,C0022346,0.0
U631,C0042798,0.0
U4,C0020429,1.0
U1041,C0162298,0.0
U274,C0237326,1.0
U625,C0030193,1.0
U548,C0020305,0.0
U669,C1262477,0.0
U171,C0039070,1.0
U709,C0022346,0.0
U495,C0002103,0.0
U900,C0031154,0.0
U231,C0917816,0.0
U443,C0008031,1.0
U57,C0003635,0.0
U265,C0039070,1.0
U783,C0023380,0.0
U769,C0700078,0.0
U196,C0003635,0.0
U443,C0042963,1.0
U703,C0011570,0.0
U469,C0237326,0.0
U393,C2931205,0.0
U566,C0085636,1.0
U202,C0027066,0.0
U188,C0699731,0.0
U820,C0020429,1.0
U185,C0030193,1.0
U856,C0018989,1.0
U602,C0042571,1.0
U630,C0003862,1.0
U263,C0013604,1.0
U945,C0700078,0.0
U998,C0020429,1.0
U260,C0234979,0.0
U83,C0020429,1.0
U284,C0020429,0.0
U399,C0030193,1.0
U240,C0033774,1.0
U44,C0010200,1.0
U597,C0237326,1.0
U148,C0020429,1.0
U971,C1568248,0.0
U248,C0039070,1.0
U262,C0015967,1.0
U889,C0030486,0.0
U95,C0018681,1.0
U276,C0043094,0.0
U431,C0037317,0.0
U150,C0030193,1.0
U659,C0013595,0.0
U164,C0032285,1.0
U83,C0231835,1.0
U235,C0003537,0.0
U289,C0003113,0.0
U637,C0008031,1.0
U205,C0003537,1.0
U297,C0000737,1.0
U532,C0234376,0.0
U36,C0020429,1.0
U115,C0152031,0.0
U552,C0231807,0.0
U709,C0013491,1.0
U765,C0030193,1.0
U262,C0008031,1.0
U101,C0234378,0.0
U515,C1568248,0.0
U262,C0033774,1.0
U1033,C1963154,0.0
U753,C0008031,0.0
U526,C0031154,0.0
U103,C0011991,1.0
U302,C0013604,1.0
U349,C0032285,1.0
U968,C0010200,1.0
U350,C1568249,0.0
U305,C0020429,1.0
U273,C2364082,0.0
U1027,C0034150,0.0
U550,C0018681,1.0
U810,C0020429,1.0
U108,C0020429,1.0
U705,C0023015,0.0
U262,C0020429,1.0
U536,C0231807,0.0
U325,C0020429,1.0
U24,C0010200,1.0
U584,C0018681,1.0
U519,C0023380,0.0
U135,C0020505,1.0
U858,C0018989,1.0
U241,C0013421,0.0
U198,C0021359,0.0
U795,C0010200,1.0
U216,C0178417,0.0
U84,C0032617,0.0
U372,C0015967,1.0
U214,C0030193,1.0
U340,C0020305,0.0
U905,C0231528,0.0
U50,C0020429,1.0
U54,C0018681,1.0
U831,C0231835,0.0
U292,C0040034,0.0
U1010,C1384666,0.0
U852,C0020429,0.0
U631,C0023186,0.0
U697,C0042571,1.0
U699,C0019572,0.0
U440,C0012833,1.0
U875,C0030193,1.0
U90,C0476254,0.0
U838,C0018834,0.0
U230,C0013604,1.0
U748,C0021368,0.0
U688,C0012833,0.0
U17,C0030193,1.0
U386,C0023530,1.0
U162,C0042571,1.0
U560,C0011570,1.0
U236,C0000737,1.0
U91,C0018681,1.0
U447,C0042571,1.0
U814,C0751837,0.0
U612,C0018834,1.0
U63,C0027498,0.0
U693,C0151786,0.0
U789,C0022346,1.0
U668,C0030193,1.0
U274,C0042798,0.0
U891,C0018681,1.0
U442,C0030193,1.0
U505,C0036572,1.0
U513,C0030193,1.0
U39,C0042798,0.0
U841,C0043094,0.0
U630,C0206160,0.0
U273,C0010200,1.0
U899,C0020429,1.0
U64,C0003578,0.0
U81,C0020505,0.0
U72,C0003635,0.0
U107,C0271215,0.0
U211,C0000737,1.0
U296,C0020429,1.0
U120,C0030193,1.0
U781,C0018989,0.0
U751,C0042798,0.0
U6,C0009421,1.0
U948,C0022346,1.0
U185,C0011991,1.0
U512,C0234132,0.0
U637,C0030193,1.0
U963,C0008031,1.0
U513,C0020429,1.0
U423,C0008031,0.0
U36,C0042571,1.0
U918,C0003123,0.0
U143,C0018681,1.0
U858,C0014335,0.0
U62,C0018681,1.0
U642,C0008489,0.0
U375,C0042963,1.0
U217,C0035455,0.0
U90,C0751265,0.0
U584,C0237326,1.0
U232,C0152031,0.0
U101,C0023015,0.0
U163,C0023015,0.0
U619,C0011991,1.0
U292,C0023012,0.0
U312,C0009806,1.0
U693,C0000737,1.0
U95,C0000737,1.0
U948,C0231835,1.0
U12,C0022116,0.0
U828,C0030232,0.0
U244,C2364082,0.0
U817,C0234133,0.0
U146,C0030193,1.0
U260,C0020429,1.0
U143,C0036572,0.0
U440,C0026826,0.0
U678,C0237326,1.0
U459,C0010200,1.0
U244,C0001925,0.0
U635,C0015967,1.0
U816,C0003126,0.0
U56,C0018681,1.0
U790,C0030193,1.0
U647,C0152200,0.0
U305,C0011991,1.0
U340,C0030193,1.0
U670,C0032914,0.0
U117,C0032285,1.0
U755,C0042798,0.0
U994,C0237326,1.0
U963,C0022346,1.0
U578,C0018776,0.0
U440,C0042571,1.0
U36,C1838869,0.0
U999,C0030193,1.0
U578,C0013604,1.0
U872,C0086437,0.0
U263,C0030193,1.0
U476,C0023186,0.0
U134,C0043094,0.0
U116,C0013604,1.0
U54,C0042571,1.0
U858,C0020429,1.0
U924,C0040034,0.0
U728,C0152031,0.0
U905,C0476254,0.0
U420,C0012833,0.0
U680,C0028754,0.0
U649,C0042571,0.0
U397,C0032914,0.0
U571,C0032285,0.0
U951,C0023012,0.0
U390,C0751837,0.0
U597,C0009421,1.0
U81,C0973461,0.0
U59,C0031154,0.0
U579,C0020796,0.0
U503,C0042798,1.0
U349,C0030193,1.0
U375,C0018780,0.0
U338,C0022346,1.0
U133,C0086565,0.0
U318,C0002622,0.0
U399,C0000737,1.0
U314,C0016382,0.0
U8,C0023530,0.0
U1033,C0237326,1.0
U451,C0011991,1.0
U953,C0001925,0.0
U363,C0015967,1.0
U849,C0020429,1.0
U504,C0010200,1.0
U160,C0851578,1.0
U155,C0003578,0.0
U653,C0086132,0.0
U964,C0009806,1.0
U348,C0086132,1.0
U399,C0042963,1.0
U363,C0030193,1.0
U141,C0000737,1.0
U574,C0026838,0.0
U271,C0020429,1.0
U891,C0020429,1.0
U795,C0020429,1.0
U899,C0162674,0.0
U658,C0020505,0.0
U166,C0028754,0.0
U359,C0042571,1.0
U655,C0700590,0.0
U101,C3714756,0.0
U938,C0151786,0.0
U33,C0456909,0.0
U19,C0020796,0.0
U704,C0020305,0.0
U914,C0005779,0.0
U1025,C0030193,1.0
U872,C0030193,1.0
U769,C0002622,0.0
U918,C0009421,1.0
U636,C0012833,0.0
U50,C0030193,1.0
U40,C0013595,1.0
U568,C0234979,0.0
U234,C0000737,1.0
U144,C0020429,0.0
U529,C0155320,0.0
U245,C0040034,0.0
U961,C0032285,0.0
U269,C0030193,1.0
U234,C0751295,0.0
U746,C0237326,0.0
U1023,C0234132,0.0
U488,C0006271,0.0
U794,C0037317,0.0
U282,C0751295,1.0
U776,C0032285,1.0
U420,C0231835,0.0
U447,C0085636,1.0
U758,C0021368,0.0
U101,C0000737,1.0
U431,C0018989,0.0
U265,C0020429,1.0
U665,C0043094,0.0
U682,C0042571,1.0
U753,C0152200,0.0
U462,C0000737,1.0
U103,C0010200,1.0
U730,C0003126,0.0
U639,C0008489,0.0
U401,C3203358,0.0
U623,C0003862,1.0
U738,C0005779,0.0
U971,C0000737,1.0
U93,C0010200,1.0
U488,C0021368,0.0
U710,C0042963,0.0
U266,C0015672,0.0
U728,C0020455,0.0
U24,C0020429,1.0
U627,C0020429,1.0
U758,C0032285,1.0
U32,C0000737,0.0
U265,C0030193,1.0
U784,C0237326,1.0
U597,C0013404,1.0
U475,C0020429,1.0
U670,C0042798,1.0
U95,C0042963,1.0
U995,C0042571,1.0
U652,C0009460,0.0
U351,C1838869,0.0
U563,C0014118,0.0
U410,C0022346,1.0
U814,C0022541,0.0
U47,C0973461,0.0
U704,C0221263,0.0
U53,C0021359,0.0
U313,C0042384,0.0
U578,C0020429,1.0
U462,C0030193,1.0
U247,C0030193,1.0
U106,C0011991,1.0
U594,C0010200,1.0
U216,C0231712,0.0
U697,C4020887,0.0
U319,C0042571,1.0
U236,C0020455,0.0
U952,C0042571,1.0
U706,C0020305,0.0
U913,C0032617,0.0
U125,C0030193,1.0
U319,C0009806,1.0
U762,C0021359,0.0
U658,C0023012,0.0
U232,C1262477,0.0
U236,C3552463,0.0
U70,C0009398,0.0
U530,C0022346,1.0
U660,C1568249,0.0
U663,C0035078,0.0
U752,C0162298,0.0
U190,C0152031,1.0
U777,C0015672,0.0
U839,C0151825,0.0
U201,C0020429,1.0
U634,C0851578,0.0
U644,C0231807,0.0
U638,C0018989,1.0
U335,C0237326,1.0
U120,C0000737,1.0
U296,C0030193,1.0
U372,C0022346,1.0
U159,C0751837,0.0
U579,C0086437,0.0
U177,C0014335,0.0
U91,C0030193,1.0
U211,C0030193,1.0
U922,C0042571,0.0
U480,C0039070,1.0
U64,C0019572,0.0
U463,C0009806,1.0
U867,C0030193,1.0
U979,C0020429,1.0
U214,C0020429,1.0
U30,C0020429,1.0
U661,C0235153,0.0
U503,C0162298,0.0
U765,C0008031,1.0
U141,C0020429,1.0
U410,C0030486,0.0
U903,C0010200,1.0
U141,C0009806,1.0
U473,C3552463,0.0
U1015,C0009460,0.0
U146,C0020429,1.0
U136,C0028756,0.0
U824,C0032285,0.0
U352,C0020305,0.0
U866,C0231528,0.0
U146,C0015230,1.0
U284,C0010200,0.0
U4,C0000737,1.0
U390,C0231791,0.0
U7,C0036572,0.0
U86,C0033774,1.0
U962,C0233565,0.0
U898,C0237326,1.0
U698,C0086132,0.0
U17,C0020429,1.0
U77,C0009421,1.0
U392,C0023012,0.0
U612,C0231835,1.0
U6,C0020429,1.0
U17,C0039070,1.0
U46,C0009460,0.0
U460,C0151908,0.0
U262,C0000737,1.0
U35,C0020429,1.0
U513,C0231791,0.0
U5,C0030193,1.0
U735,C0040034,0.0
U795,C0009806,1.0
U597,C0011991,1.0
U642,C3668816,0.0
U845,C0013421,0.0
U591,C0020305,0.0
U236,C0155320,0.0
U195,C0000737,1.0
U544,C0026821,0.0
U902,C0027498,0.0
U196,C0020429,1.0
U622,C0009421,0.0
U392,C1145670,0.0
U941,C0003537,0.0
U765,C0039070,1.0
U199,C0018834,0.0
U756,C3668816,0.0
U380,C0020429,1.0
U748,C0022346,1.0
U310,C0007758,0.0
U659,C0030193,1.0
U711,C0018681,1.0
U805,C0234132,0.0
U802,C0003537,0.0
U110,C0036572,1.0
U414,C0015672,0.0
U242,C0011991,1.0
U440,C0018681,1.0
U423,C0028754,0.0
U529,C0237326,1.0
U358,C0040034,0.0
U104,C0023015,1.0
U780,C0234132,0.0
U530,C0013604,1.0
U829,C0000737,1.0
U7,C0015672,0.0
U869,C0000737,1.0
U642,C0030193,1.0
U1042,C0751295,0.0
U820,C0030193,1.0
U190,C0231835,1.0
U884,C0003123,1.0
U566,C0033377,0.0
U77,C0033687,0.0
U696,C0542476,1.0
U386,C2364082,0.0
U18,C0040034,0.0
U183,C0020429,1.0
U1031,C0237326,1.0
U180,C0020429,1.0
U937,C0152200,0.0
U644,C0014335,0.0
U440,C0040034,0.0
U528,C0020455,0.0
U627,C0013604,1.0
U775,C0037317,0.0
U558,C0008031,1.0
U120,C0013491,1.0
U313,C0000737,1.0
U382,C0015967,1.0
U1007,C0040822,0.0
U262,C0018989,1.0
U680,C0030193,1.0
U914,C0013604,1.0
U463,C0011991,1.0
U463,C0010200,1.0
U286,C0020429,1.0
U151,C0009806,1.0
U205,C0020429,1.0
U104,C0233565,0.0
U120,C0042571,1.0
U492,C0000737,0.0
U758,C0010200,1.0
U325,C0013604,1.0
U897,C0221263,0.0
U637,C0917816,0.0
U691,C0030193,1.0
U164,C0003123,1.0
U206,C0010200,1.0
U555,C0476273,0.0
U953,C0030193,1.0
U236,C0231791,0.0
U359,C0027066,0.0
U4,C0003126,0.0
U683,C0042963,1.0
U44,C0751295,0.0
U634,C0030193,1.0
U544,C0009398,0.0
U30,C0013604,1.0
U938,C0042024,0.0
U375,C0030486,0.0
U505,C0237326,1.0
U410,C0022541,0.0
U788,C0018784,0.0
U76,C0020429,1.0
U948,C0271097,0.0
U267,C0028756,0.0
U987,C0162298,0.0
U669,C0020429,1.0
U961,C0013604,1.0
U730,C0011991,1.0
U399,C0015672,0.0
U125,C0010200,1.0
U372,C0085636,1.0
U619,C0020429,1.0
U1041,C0427055,0.0
U602,C0003537,1.0
U274,C0009806,1.0
U201,C0030193,1.0
U468,C0023186,0.0
U321,C0003862,0.0
U852,C0042384,0.0
U843,C0015967,0.0
U155,C0030193,1.0
U148,C0000737,1.0
U140,C0013604,1.0
U898,C0000737,1.0
U155,C0221263,0.0
U869,C0005745,0.0
U162,C0003862,0.0
U734,C0013604,1.0
U745,C0234144,0.0
U171,C0009421,1.0
U340,C0542476,0.0
U406,C0030486,0.0
U820,C0231835,1.0
U938,C0030193,0.0
U248,C0013604,1.0
U21,C0700078,0.0
U619,C0027498,0.0
U592,C0020429,1.0
U1009,C0008031,0.0
U923,C1384666,0.0
U83,C0000737,1.0
U265,C0036572,1.0
U197,C0020615,0.0
U279,C0000737,1.0
U487,C0019572,0.0
U890,C0008031,1.0
U1039,C0221263,0.0
U12,C0020429,1.0
U560,C0020429,1.0
U35,C0010200,1.0
U237,C1963154,0.0
U102,C0013604,1.0
U460,C0013604,1.0
U820,C0011991,0.0
U647,C0018681,1.0
U34,C0973461,0.0
U52,C0013604,1.0
U847,C0973461,0.0
U146,C0018681,1.0
U314,C0028756,0.0
U538,C0030193,1.0
U221,C0040822,0.0
U951,C0008031,1.0
U670,C0178417,0.0
U418,C0028756,0.0
U558,C0003126,1.0
U602,C0009806,0.0
U624,C0151908,0.0
U164,C0042571,1.0
U236,C0011991,1.0
U496,C0010200,1.0
U446,C0020429,1.0
U213,C1568249,0.0
U650,C0000737,1.0
U994,C0032285,1.0
U874,C0013604,1.0
U442,C0018777,0.0
U767,C0009806,1.0
U826,C0011991,1.0
U52,C0231835,0.0
U372,C0012833,1.0
U1019,C0029089,0.0
U537,C3668816,0.0
U70,C0235153,0.0
U212,C0019214,0.0
U145,C0231791,0.0
U964,C0237326,1.0
U1023,C0234144,0.0
U51,C0700078,0.0
U76,C0013604,1.0
U90,C0042963,1.0
U87,C0015672,0.0
U173,C0032285,1.0
U409,C0011570,0.0
U662,C0851578,0.0
U527,C0000737,1.0
U935,C0019825,0.0
U360,C0235153,0.0
U276,C0027066,0.0
U765,C0009421,1.0
U271,C0456909,0.0
U196,C0018681,1.0
U102,C0010200,1.0
U201,C0012833,1.0
U135,C0030193,1.0
U846,C0235153,0.0
U335,C0003862,1.0
U622,C0018681,0.0
U43,C0003123,0.0
U769,C0030486,0.0
U660,C0851578,0.0
U642,C0000737,1.0
U973,C0476254,0.0
U362,C0917816,0.0
U76,C3668816,0.0
U655,C0035229,0.0
U594,C0030193,1.0
U308,C0013604,0.0
U476,C0042798,0.0
U677,C0746674,0.0
U540,C0003113,0.0
U348,C1860844,0.0
U829,C0020429,1.0
U693,C0030193,1.0
U188,C0014335,0.0
U1025,C0020429,1.0
U469,C0000737,1.0
U269,C0085636,1.0
U243,C0019214,1.0
U603,C0151825,0.0
U679,C0018681,1.0
U451,C0013595,1.0
U242,C0039070,1.0
U289,C0042798,0.0
U71,C0427055,0.0
U282,C0034150,1.0
U375,C0032285,1.0
U869,C0030193,1.0
U674,C0010200,1.0
U91,C0020429,1.0
U693,C0011991,1.0
U12,C0021359,1.0
U308,C0700590,0.0
U930,C0010200,1.0
U547,C0023014,0.0
U372,C0018834,1.0
U891,C0022541,0.0
U860,C0018681,1.0
U676,C0030193,1.0
U36,C0234144,0.0
U763,C0030486,0.0
U664,C0013595,1.0
U516,C0013604,1.0
U862,C0010200,1.0
U439,C0023015,0.0
U384,C0003123,0.0
U119,C0020429,1.0
U894,C3714756,0.0
U479,C0020438,0.0
U659,C0042571,1.0
U559,C0013595,1.0
U911,C0000737,1.0
U269,C0018681,1.0
U118,C0030193,1.0
U950,C0011991,1.0
U192,C0006625,0.0
U268,C0020429,1.0
U496,C0030193,1.0
U117,C0003862,0.0
U169,C0000737,1.0
U664,C0020429,1.0
U309,C0206160,0.0
U5,C0033774,1.0
U363,C0022346,1.0
U258,C0234144,0.0
U873,C0003123,0.0
U26,C0018681,1.0
U841,C0003537,0.0
U658,C0018834,0.0
U515,C0011991,0.0
U740,C0042571,1.0
U979,C0013604,1.0
U55,C0019572,0.0
U132,C0009806,0.0
U793,C0037317,1.0
U103,C0037315,0.0
U351,C0009421,1.0
U948,C0033774,1.0
U211,C0231791,0.0
U263,C0020429,1.0
U862,C0009421,0.0
U110,C0000737,1.0
U38,C0033774,1.0
U872,C0015967,1.0
U787,C0151908,0.0
U324,C0023380,0.0
U59,C0010200,1.0
U118,C0020429,1.0
U962,C0010200,1.0
U372,C0013595,1.0
U584,C0042963,1.0
U644,C0037317,0.0
U623,C0231712,0.0
U332,C0231791,0.0
U447,C0018681,1.0
U232,C0234979,0.0
U789,C0042571,1.0
U274,C0030193,1.0
U682,C0042798,1.0
U51,C0851578,0.0
U890,C0030193,1.0
U183,C0030193,1.0
U416,C0020429,1.0
U944,C0000737,1.0
U527,C0027498,0.0
U542,C1262477,0.0
U104,C0015967,0.0
U612,C0032285,1.0
U555,C0028754,0.0
U175,C0000737,0.0
U1033,C0037315,0.0
U338,C0015967,0.0
U169,C0023014,0.0
U875,C0010200,1.0
U808,C0042798,0.0
U110,C1963154,0.0
U351,C0011991,1.0
U559,C0011991,1.0
U1042,C0009806,0.0
U504,C0033377,0.0
U999,C0020429,1.0
U891,C0015967,1.0
U243,C0042798,1.0
U43,C0018681,1.0
U395,C0022541,0.0
U54,C0020429,1.0
U892,C0237326,1.0
U451,C0020429,1.0
U890,C0151908,0.0
U659,C0020429,1.0
U171,C0030193,1.0
U784,C0030193,1.0
U860,C0020429,1.0
U908,C3552463,0.0
U190,C0151786,0.0
U77,C0030193,1.0
U159,C0013604,0.0
U785,C0086437,0.0
U671,C0013595,0.0
U453,C0015230,0.0
U506,C0751295,0.0
U64,C0085636,1.0
U262,C0006625,0.0
U771,C0015644,0.0
U122,C0234144,0.0
U614,C0011991,1.0
U530,C0020429,1.0
U305,C0022346,1.0
U592,C0039070,0.0
U279,C0011991,1.0
U785,C0011991,1.0
U89,C0751837,0.0
U906,C1384666,0.0
U96,C0008489,0.0
U313,C0700590,0.0
U640,C0023012,0.0
U948,C0013491,0.0
U202,C0020429,1.0
U524,C0020429,1.0
U386,C0010200,1.0
U323,C0699731,0.0
U709,C0010200,1.0
U901,C0152031,0.0
U54,C0011570,1.0
U770,C0032617,0.0
U685,C0086437,0.0
U63,C0030193,1.0
U196,C0030193,1.0
U597,C0010200,1.0
U54,C0039070,1.0
U852,C0010200,1.0
U679,C0032285,1.0
U596,C0031154,0.0
U470,C0036572,0.0
U693,C0010200,1.0
U748,C0018681,1.0
U582,C0013604,1.0
U32,C3668816,0.0
U321,C0018681,1.0
U175,C0022346,1.0
U484,C0027066,0.0
U201,C0003862,0.0
U519,C0042571,1.0
U366,C0023380,0.0
U911,C0031154,0.0
U922,C0086132,0.0
U230,C0011991,1.0
U733,C0037315,0.0
U276,C0151786,0.0
U706,C0003635,0.0
U182,C0037315,0.0
U921,C0042571,0.0
U267,C4020887,0.0
U559,C0233565,0.0
U874,C0009460,0.0
U143,C0271215,0.0
U631,C0015967,1.0
U508,C0016382,0.0
U592,C0018681,1.0
U606,C1963154,0.0
U801,C0751295,0.0
U999,C0237326,1.0
U583,C0026826,0.0
U640,C0015967,1.0
U862,C0030193,1.0
U919,C0008031,1.0
U5,C0000737,1.0
U955,C3714756,0.0
U912,C0237326,1.0
U871,C0013604,1.0
U664,C0013604,1.0
U114,C0851578,0.0
U202,C0012833,1.0
U815,C0018681,0.0
U504,C0011991,1.0
U175,C0027066,0.0
U333,C1836296,0.0
U944,C0085636,0.0
U23,C0917816,0.0
U335,C0011991,1.0
U339,C0011991,1.0
U284,C1836296,0.0
U944,C0338591,0.0
U293,C0234144,0.0
U460,C0234376,0.0
U597,C0018834,1.0
U246,C0020538,0.0
U437,C0030193,1.0
U488,C0026837,0.0
U958,C0030193,1.0
U215,C0003123,0.0
U748,C0152031,0.0
U789,C0018989,1.0
U484,C0973461,1.0
U58,C0020429,1.0
U901,C0009806,1.0
U333,C0151825,0.0
U658,C0011991,1.0
U390,C0022346,1.0
U266,C0271215,0.0
U619,C0030193,1.0
U817,C0012833,1.0
U814,C0699731,0.0
U918,C0003113,0.0
U639,C0010200,1.0
U91,C4020887,0.0
U625,C0022541,0.0
U90,C0023530,0.0
U527,C0013604,1.0
U221,C0751265,0.0
U487,C0036572,1.0
U91,C0270948,0.0
U196,C0018834,0.0
U230,C0015967,1.0
U302,C0020429,1.0
U180,C0237326,1.0
U503,C0026837,0.0
U584,C0011991,1.0
U333,C0162298,0.0
U892,C0002418,0.0
U206,C0018681,1.0
U553,C0234979,0.0
U447,C0009806,1.0
U195,C0036572,1.0
U579,C0010200,1.0
U837,C0039070,1.0
U178,C0039070,0.0
U208,C0001925,0.0
U703,C0022541,0.0
U633,C0005745,0.0
U640,C1145670,0.0
U231,C0026837,0.0
U837,C0022541,0.0
U930,C0456909,0.0
U293,C0851578,0.0
U61,C0023380,0.0
U522,C0020429,1.0
U108,C0151825,0.0
U340,C0001925,0.0
U406,C0026837,0.0
U818,C0917816,0.0
U935,C0023186,0.0
U168,C0030193,1.0
U207,C0010200,1.0
U1041,C0009806,0.0
U363,C0013595,1.0
U58,C0231791,0.0
U955,C0003126,0.0
U119,C0013604,0.0
U762,C0234376,0.0
U102,C0015967,0.0
U716,C0031154,0.0
U273,C0042963,0.0
