drug,symptom,indication
U348,C0000737,1.0
U138,C0151908,0.0
U125,C0002622,0.0
U794,C0032617,0.0
U497,C4020887,0.0
U45,C0030193,1.0
U440,C0020429,1.0
U930,C0020429,1.0
U1027,C0035229,0.0
U687,C0030193,1.0
U532,C0033687,0.0
U406,C0008489,0.0
U771,C0002103,0.0
U351,C0042963,1.0
U932,C0027498,0.0
U759,C0013491,0.0
U468,C0002103,0.0
U496,C0012833,1.0
U172,C0020429,1.0
U393,C0018681,1.0
U698,C0015967,0.0
U72,C0013604,0.0
U527,C0010200,1.0
U503,C0009460,0.0
U246,C0152031,0.0
U872,C0000737,1.0
U4,C0030193,1.0
U798,C1262477,0.0
U784,C0020429,1.0
U503,C0020429,1.0
U182,C0013491,0.0
U874,C0011991,1.0
U859,C0030193,1.0
U234,C0020429,1.0
U769,C0034150,0.0
U423,C0030193,1.0
U134,C0034150,0.0
U362,C0019214,0.0
U150,C0235153,0.0
U18,C0237326,1.0
U623,C1384666,0.0
U200,C0009460,0.0
U638,C0030193,1.0
U821,C0020429,1.0
U563,C0018989,0.0
U124,C0020429,1.0
U475,C0015230,0.0
U950,C1963154,0.0
U898,C0033774,1.0
U941,C0011991,0.0
U50,C0015967,1.0
U260,C0030193,1.0
U989,C0271097,0.0
U292,C1963154,0.0
U88,C0034150,1.0
U172,C0033774,1.0
U597,C0012833,1.0
U53,C0271097,0.0
U687,C0020429,1.0
U146,C0022346,1.0
U951,C0018989,1.0
U4,C0010200,1.0
U516,C0003862,1.0
U1031,C0030486,0.0
U664,C0019825,1.0
U224,C0751265,0.0
U649,C0042384,0.0
U267,C0018989,0.0
U423,C0015967,1.0
U100,C0030486,0.0
U592,C0030486,0.0
U339,C0030193,1.0
U265,C0042571,1.0
U302,C0030193,1.0
U923,C0020455,0.0
U36,C0030193,1.0
U244,C0010200,1.0
U72,C0011991,1.0
U903,C0042963,1.0
U54,C0010200,1.0
U63,C0020429,1.0
U544,C0034150,1.0
U730,C0022346,1.0
U11,C0013604,0.0
U534,C0026846,1.0
U665,C0033377,0.0
U622,C0030193,1.0
U1012,C0010200,1.0
U370,C0042571,0.0
U856,C0018780,0.0
U578,C0427190,0.0
U161,C0476273,0.0
U779,C0003578,0.0
U995,C0020429,1.0
U735,C0020429,1.0
U705,C0040034,0.0
U340,C0237326,0.0
U838,C0020455,0.0
U874,C0018681,1.0
U314,C0005779,0.0
U305,C0010200,1.0
U350,C0151786,0.0
U451,C0018780,0.0
U834,C0000737,1.0
U205,C0002103,0.0
U874,C0030193,1.0
U258,C0030193,1.0
U54,C0086132,1.0
U470,C0030193,1.0
U898,C0020429,1.0
U781,C0012833,0.0
U372,C0020429,1.0
U373,C0009398,0.0
U550,C0020796,0.0
U859,C0018681,1.0
U351,C0000737,1.0
U697,C0030193,1.0
U64,C0013491,0.0
U903,C0018834,1.0
U921,C0028756,0.0
U971,C0020429,1.0
U134,C0033774,0.0
U955,C0042384,0.0
U91,C0011991,1.0
U37,C0751837,0.0
U918,C0011570,0.0
U680,C0003862,1.0
U311,C0011991,1.0
U802,C0013604,1.0
U867,C0014118,0.0
U62,C0542476,0.0
U631,C0020429,1.0
U745,C0022346,0.0
U697,C0020429,1.0
U262,C0018681,1.0
U847,C0020615,0.0
U241,C0023380,0.0
U249,C0018784,0.0
U935,C0006271,0.0
U989,C0002622,0.0
U451,C0030193,1.0
U320,C0234133,0.0
U579,C0020429,1.0
U477,C0003113,0.0
U823,C0020429,1.0
U696,C0030193,1.0
U289,C0026826,0.0
U597,C0020429,1.0
U698,C0026821,0.0
U627,C0028756,0.0
U311,C0042571,0.0
U987,C0010200,1.0
U168,C0020429,1.0
U637,C0751295,0.0
U578,C0011991,1.0
U579,C1836296,0.0
U279,C0020538,0.0
U782,C0015967,0.0
U122,C0020796,0.0
U650,C0751837,0.0
U918,C0039070,1.0
U806,C0011570,0.0
U901,C0000737,1.0
U927,C0007758,0.0
U268,C0012833,1.0
U236,C0030193,1.0
U530,C0030193,1.0
U169,C0030193,1.0
U846,C0040822,0.0
U418,C0152031,0.0
U46,C0086437,0.0
U55,C0013604,1.0
U652,C0020455,0.0
U395,C0023380,0.0
U793,C0036572,1.0
U862,C0011991,1.0
U685,C0030193,1.0
U393,C0042571,1.0
U480,C0237326,1.0
U922,C0152200,0.0
U460,C0030193,1.0
U703,C1836296,0.0
U826,C0030193,1.0
U430,C0021359,0.0
U305,C0019825,1.0
U302,C0030232,0.0
U90,C0012833,0.0
U222,C0013404,0.0
U33,C0700078,0.0
U597,C0019214,1.0
U160,C0013491,1.0
U363,C0003113,0.0
U653,C0032914,0.0
U987,C0003126,0.0
U517,C0020455,0.0
U165,C0000737,1.0
U104,C0030193,1.0
U867,C0231835,1.0
U335,C0010200,1.0
U359,C0020429,1.0
U944,C0011991,1.0
U959,C0020429,1.0
U95,C0152031,0.0
U372,C0009806,1.0
U505,C0005745,0.0
U730,C0042963,1.0
U77,C0020429,1.0
U676,C0042963,0.0
U267,C0012833,1.0
U959,C0010200,1.0
U755,C3203358,0.0
U678,C0020505,0.0
U205,C0746674,0.0
U779,C0009806,1.0
U630,C0020429,1.0
U905,C0023015,0.0
U269,C0020429,1.0
U263,C0018681,1.0
U54,C0151825,0.0
U566,C0003126,0.0
U872,C0013604,1.0
U43,C0020429,1.0
U872,C0018834,0.0
U635,C0022346,1.0
U232,C0085636,1.0
U188,C0010200,1.0
U746,C0033687,0.0
U346,C0012833,1.0
U973,C0011570,0.0
U12,C0030193,1.0
U872,C0020429,1.0
U691,C0020429,1.0
U693,C0020429,1.0
U900,C0030193,1.0
U1022,C0021368,0.0
U86,C0008031,1.0
U942,C1568248,0.0
U43,C0030193,1.0
U77,C0039070,1.0
U108,C0178417,0.0
U749,C0018784,0.0
U359,C0037317,0.0
U590,C0042963,1.0
U3,C0221263,0.0
U262,C0043094,0.0
U795,C0237326,1.0
U349,C0155320,0.0
U610,C0035455,0.0
U463,C0237326,1.0
U870,C0003537,0.0
U76,C0011991,1.0
U629,C0008031,0.0
U810,C0151825,0.0
U363,C1568249,0.0
U1013,C0018777,0.0
U351,C3552463,0.0
U145,C0023530,0.0
U611,C0033774,0.0
U149,C0234378,0.0
U164,C0010200,1.0
U70,C0000737,1.0
U457,C0700590,0.0
U716,C0028754,0.0
U151,C0237326,1.0
U1031,C0010200,1.0
U195,C0030193,1.0
U112,C0005745,0.0
U58,C0011991,1.0
U678,C0005745,0.0
U24,C0000737,1.0
U230,C0237326,1.0
U880,C0234144,0.0
U935,C0026826,0.0
U18,C0019572,0.0
U1008,C0009806,0.0
U777,C0015967,0.0
U539,C0013404,0.0
U207,C0030193,1.0
U397,C0023014,0.0
U102,C0542476,0.0
U125,C0011991,1.0
U54,C0042963,1.0
U416,C1262477,0.0
U273,C0023186,0.0
U205,C0237326,0.0
U141,C0237326,1.0
U748,C0030193,1.0
U36,C0000737,1.0
U952,C0020429,1.0
U698,C0000737,1.0
U658,C0020615,0.0
U322,C1262477,0.0
U66,C0023014,0.0
U127,C0751837,0.0
U98,C0016382,0.0
U592,C0751837,0.0
U484,C0003537,1.0
U908,C0013491,0.0
U566,C0030193,1.0
U244,C0030193,1.0
U89,C0009398,0.0
U659,C0019214,1.0
U95,C0015967,1.0
U460,C0042571,0.0
U694,C0162674,0.0
U214,C0033774,1.0
U12,C0000737,1.0
U1025,C0015230,1.0
U43,C2364082,0.0
U101,C0013491,1.0
U362,C0018777,0.0
U867,C1384666,0.0
U204,C0022346,0.0
U175,C0011991,1.0
U524,C0033774,0.0
U703,C0018989,0.0
U734,C1568249,0.0
U390,C0178417,0.0
U268,C0042571,1.0
U469,C0019214,0.0
U676,C0020429,1.0
U245,C0917816,0.0
U242,C0008031,1.0
U325,C0032285,1.0
U594,C0005745,0.0
U10,C0237326,1.0
U54,C0018834,0.0
U370,C0010200,1.0
U582,C0030193,1.0
U711,C0020429,1.0
U875,C0000737,1.0
U180,C0009806,1.0
U802,C0221263,0.0
U914,C0015967,1.0
U393,C0542476,0.0
U709,C0000737,1.0
U487,C0234376,0.0
U55,C0020429,1.0
U323,C0009421,0.0
U108,C0013421,0.0
U637,C0033774,1.0
U77,C0040034,0.0
U251,C0026826,0.0
U950,C0040034,0.0
U93,C0032285,1.0
U348,C0010200,1.0
U1043,C0030232,0.0
U734,C0032285,1.0
U767,C0010200,1.0
U462,C0751837,0.0
U162,C0231835,0.0
U171,C0020429,1.0
U931,C0018834,0.0
U210,C0234133,0.0
U914,C0030193,1.0
U932,C4020887,0.0
U39,C0015967,1.0
U258,C0020429,1.0
U26,C0012833,0.0
U962,C0035078,0.0
U607,C0456909,0.0
U39,C0023380,1.0
U636,C0026838,0.0
U119,C0000737,1.0
U544,C0000737,1.0
U47,C0231835,1.0
U430,C0973461,0.0
U919,C0020429,1.0
U408,C0010200,1.0
U584,C0015967,1.0
U602,C0020429,1.0
U657,C0235153,0.0
U930,C0030193,1.0
U208,C0751837,0.0
U612,C0042963,1.0
U314,C0030193,1.0
U550,C3552463,0.0
U803,C0016382,0.0
U260,C0018681,1.0
U568,C0241210,0.0
U146,C0010200,1.0
U860,C0030193,1.0
U372,C0030193,1.0
U559,C0030193,1.0
U919,C0014335,0.0
U780,C0231712,0.0
U678,C0042571,1.0
U874,C0015967,1.0
U113,C0042384,0.0
U335,C0009806,1.0
U156,C0013604,1.0
U613,C0751295,0.0
U360,C0018681,1.0
U4,C0237326,0.0
U305,C0030193,1.0
U262,C0231807,0.0
U538,C0020429,1.0
U655,C0027066,0.0
U94,C0002103,0.0
U889,C0746674,0.0
U185,C0042963,1.0
U147,C0010200,1.0
U579,C0030193,1.0
U165,C0030232,0.0
U282,C0022346,0.0
U614,C0026837,0.0
U584,C0020429,1.0
U578,C0030193,1.0
U48,C3668816,0.0
U647,C0019214,0.0
U95,C0030193,1.0
U323,C0033377,0.0
U382,C0018834,0.0
U416,C0013604,1.0
U683,C0011991,1.0
U474,C0020429,1.0
U899,C0028756,0.0
U102,C0033687,0.0
U669,C0003862,1.0
U844,C0206160,0.0
U135,C0020429,1.0
U841,C0011991,1.0
U671,C0018681,0.0
U141,C0030193,1.0
U184,C0042384,0.0
U696,C0234144,0.0
U319,C0012833,1.0
U162,C0030193,1.0
U776,C0010200,1.0
U979,C0030193,1.0
U124,C0030193,1.0
U498,C3552463,0.0
U603,C1838869,0.0
U868,C1963154,0.0
U142,C0162298,0.0
U115,C0237326,1.0
U456,C0006625,0.0
U597,C0015967,1.0
U700,C0030193,1.0
U54,C0155320,0.0
U730,C0012833,0.0
U887,C0027498,0.0
U510,C0015672,0.0
U375,C0011991,1.0
U462,C0020429,1.0
U538,C0751837,0.0
U88,C0015967,1.0
U279,C0020429,1.0
U559,C0020429,1.0
U202,C0030193,1.0
U372,C0010200,1.0
U162,C0023380,0.0
U351,C0039070,1.0
U711,C0003862,1.0
U24,C0035455,0.0
U738,C1838869,0.0
U338,C0022541,0.0
U142,C0013604,1.0
U148,C0013421,0.0
U824,C0020505,0.0
U1019,C0221263,0.0
U375,C0010200,1.0
U35,C0030193,1.0
U107,C0023380,0.0
U658,C0151908,0.0
U342,C0012833,0.0
U939,C0085636,0.0
U944,C0030193,1.0
U785,C0018681,1.0
U120,C0020429,1.0
U558,C0000737,1.0
U623,C0010200,1.0
U858,C0237326,1.0
U516,C0030193,1.0
U271,C0015967,0.0
U87,C0013604,1.0
U255,C0023014,0.0
U635,C0018989,1.0
U361,C1691779,0.0
U309,C0013595,0.0
U790,C0000737,1.0
U351,C0013595,1.0
U242,C0036572,1.0
U274,C0032285,1.0
U648,C0746674,0.0
U584,C0030193,1.0
U758,C0234144,0.0
U669,C0008031,1.0
U380,C0234132,0.0
U874,C0000737,1.0
U124,C0026826,0.0
U382,C0456909,0.0
U1034,C0271097,0.0
U476,C0020429,1.0
U480,C0206160,0.0
U141,C0018681,1.0
U200,C1384666,0.0
U584,C0009806,1.0
U481,C0018780,0.0
U578,C0003578,0.0
U457,C3203358,0.0
U20,C0018780,0.0
U821,C0030193,1.0
U201,C0270948,0.0
U559,C0234133,0.0
U685,C0020438,0.0
U62,C0020429,1.0
U286,C0013604,1.0
U876,C0338591,0.0
U141,C0011991,1.0
U929,C0019572,0.0
U869,C0022346,1.0
U72,C0018780,0.0
U721,C0152200,0.0
U860,C0003862,1.0
U874,C0020429,1.0
U76,C0000737,1.0
U190,C0018681,1.0
U661,C0030193,1.0
U623,C0013604,1.0
U327,C0002622,0.0
U503,C0751265,0.0
U232,C0040822,0.0
U52,C0022346,1.0
U135,C0020796,0.0
U1013,C0398650,0.0
U734,C0030193,1.0
U560,C0015230,1.0
U612,C0010200,1.0
U674,C0032285,1.0
U784,C0009806,1.0
U789,C0000737,0.0
U386,C0018681,1.0
U613,C0020615,0.0
U732,C0003862,0.0
U669,C0234378,0.0
U690,C0270948,0.0
U733,C0231528,1.0
U516,C0020429,1.0
U821,C0234979,0.0
U585,C0020455,0.0
U998,C0030193,1.0
U360,C0001925,0.0
U241,C0178417,0.0
U505,C0018681,0.0
U914,C0011991,1.0
U840,C0005779,0.0
U367,C0427190,0.0
U313,C0009460,0.0
U594,C0020429,1.0
U841,C0237326,1.0
U144,C0040822,0.0
U824,C0042571,0.0
U195,C0011991,1.0
U169,C0020429,1.0
U212,C0011991,1.0
U170,C0152031,0.0
U914,C0042384,0.0
U898,C0030193,1.0
U837,C3668816,0.0
U162,C0012833,1.0
U125,C0015967,1.0
U1034,C0338591,0.0
U634,C0018681,1.0
U655,C0427055,0.0
U488,C0030193,1.0
U309,C0010200,0.0
U755,C1836296,0.0
U443,C0010200,1.0
U339,C0000737,1.0
U685,C0020429,1.0
U734,C0010200,1.0
U733,C0151786,0.0
U474,C0000737,1.0
U160,C0018681,1.0
U691,C0000737,1.0
U205,C0030193,1.0
U504,C0020429,1.0
U106,C0042963,1.0
U5,C0019572,0.0
U463,C0030193,1.0
U197,C0162674,0.0
U438,C1836296,0.0
U50,C0018834,1.0
U468,C0751837,0.0
U696,C0042571,1.0
U663,C0020429,0.0
U642,C0032914,0.0
U590,C0032285,1.0
U360,C0009806,1.0
U611,C0026826,0.0
U919,C0030193,1.0
U313,C0020429,1.0
U618,C0542476,0.0
U118,C1384666,0.0
U676,C0019572,0.0
U63,C0042963,1.0
U861,C0020429,1.0
U173,C0020796,0.0
U669,C0030193,1.0
U119,C0030193,1.0
U52,C0013595,1.0
U668,C0020429,1.0
U390,C0035229,0.0
U749,C0035229,0.0
U288,C0003537,0.0
U637,C0015672,0.0
U795,C0003578,0.0
U824,C0002418,0.0
U801,C0020615,0.0
U435,C0152031,0.0
U195,C0042963,1.0
U147,C0011991,1.0
U665,C0003635,0.0
U325,C0030193,1.0
U286,C0231712,0.0
U730,C0033687,0.0
U575,C0023014,0.0
U1030,C1568249,0.0
U991,C0039070,0.0
U104,C0008031,1.0
U470,C0018681,1.0
U454,C0000737,1.0
U642,C0020429,1.0
U388,C0026838,0.0
U20,C0042963,1.0
U569,C0042571,1.0
U636,C0030193,1.0
U17,C0018681,1.0
U552,C0221263,0.0
U360,C0011991,1.0
U207,C0032285,1.0
U228,C0008031,0.0
U745,C0013404,0.0
U437,C0020429,1.0
U669,C0018989,1.0
U124,C0013404,0.0
U110,C0020429,1.0
U196,C0023380,1.0
U173,C0040034,0.0
U758,C0020429,1.0
U810,C0030193,1.0
U998,C0221263,0.0
U11,C0456909,0.0
U392,C0013421,0.0
U920,C0042571,0.0
U463,C0240735,0.0
U1010,C0013604,1.0
U129,C0033774,1.0
U785,C0032285,1.0
U273,C0020429,1.0
U998,C0231712,0.0
U198,C0015672,0.0
U661,C0000737,1.0
U995,C0237326,1.0
U85,C0019214,0.0
U649,C0011991,1.0
U488,C0013604,1.0
U188,C0030193,1.0
U543,C0751265,0.0
U247,C0231835,1.0
U544,C0010200,1.0
U694,C0030232,0.0
U339,C0162298,0.0
U457,C0022541,0.0
U104,C0042963,1.0
U628,C0018681,1.0
U128,C0014118,0.0
U911,C0015230,1.0
U13,C0030193,1.0
U901,C0237326,1.0
U393,C0012833,1.0
U1010,C0011991,1.0
U602,C0018681,1.0
U412,C0231835,1.0
U689,C0917816,0.0
U953,C0011991,1.0
U148,C0030193,1.0
U416,C0030193,1.0
U898,C0009806,1.0
U597,C0009806,1.0
U584,C0010200,1.0
U255,C1145670,0.0
U360,C0042571,1.0
U160,C0234376,0.0
U370,C0042384,0.0
U410,C0000737,1.0
U533,C0032285,1.0
U805,C0000737,1.0
U823,C0030193,1.0
U861,C0033774,1.0
U297,C0030193,1.0
U533,C0036572,0.0
U359,C0009460,0.0
U162,C0009806,1.0
U451,C0033774,1.0
U430,C0030193,1.0
U412,C0020429,1.0
U120,C0015967,1.0
U338,C0020429,1.0
U900,C0008031,0.0
U325,C0008031,1.0
U110,C0030193,1.0
U826,C0151786,1.0
U953,C0020429,1.0
U36,C0018681,1.0
U150,C0000737,1.0
U964,C0013604,1.0
U779,C0237326,1.0
U484,C0009460,0.0
U619,C1963137,0.0
U962,C1145670,0.0
U322,C0014335,0.0
U393,C0033774,1.0
U968,C0013604,1.0
U713,C0030193,1.0
U470,C0033377,0.0
U560,C0030193,1.0
U387,C0030193,1.0
U650,C0030193,1.0
U451,C0000737,1.0
U492,C0037315,0.0
U890,C0011991,1.0
U501,C1384666,0.0
U106,C0019214,0.0
U168,C0270948,0.0
U991,C0003578,0.0
U55,C0018784,0.0
U95,C0010200,1.0
U579,C0019825,1.0
U166,C0221263,0.0
U4,C0271097,0.0
U633,C0026821,0.0
U610,C0015967,1.0
U150,C0427190,0.0
U325,C0018989,0.0
U700,C0040034,0.0
U440,C0005745,0.0
U194,C1384666,0.0
U107,C0028756,0.0
U269,C0151825,0.0
U83,C0008031,1.0
U779,C0020429,1.0
U782,C0033377,0.0
U102,C0011991,1.0
U230,C0700590,1.0
U320,C0018780,0.0
U339,C0042963,1.0
U1041,C0020538,0.0
U816,C0221263,0.0
U172,C0013595,1.0
U488,C0020429,1.0
U884,C0026821,0.0
U135,C0851578,1.0
U47,C0237326,1.0
U453,C0023186,0.0
U700,C0237326,1.0
U255,C0155320,0.0
U858,C0010200,1.0
U793,C0020505,0.0
U696,C0008031,1.0
U728,C0151786,0.0
U1042,C0700078,0.0
U989,C0152200,0.0
U62,C0042963,1.0
U877,C1691779,0.0
U34,C0008031,1.0
U474,C0030193,1.0
U455,C0427055,0.0
U205,C0456909,0.0
U802,C0235153,0.0
U1015,C0018776,0.0
U30,C0398650,0.0
U683,C0231807,0.0
U862,C0020429,1.0
U941,C0034150,0.0
U930,C0178417,0.0
U273,C0030193,1.0
U811,C0151908,0.0
U551,C0231791,0.0
U629,C0006271,0.0
U659,C0000737,1.0
U710,C0002103,0.0
U650,C0003862,1.0
U698,C0013604,1.0
U911,C0427055,1.0
U439,C0030193,1.0
U973,C0022346,1.0
U3,C0042024,0.0
U288,C0000737,0.0
U382,C0011991,1.0
U341,C0029089,0.0
U911,C3552463,0.0
U416,C0022346,1.0
U237,C0456909,0.0
U425,C0398650,0.0
U765,C0013421,0.0
U260,C0699731,0.0
U873,C0022116,0.0
U890,C1262477,0.0
U72,C0751295,0.0
U635,C0030193,1.0
U188,C3203358,0.0
U38,C0033687,0.0
U215,C0005745,0.0
U76,C0237326,1.0
U148,C0031154,0.0
U372,C0237326,1.0
U5,C0021359,1.0
U597,C0036572,1.0
U140,C0237326,1.0
U149,C0008031,0.0
U829,C0030193,1.0
U396,C0035078,0.0
U553,C0234378,0.0
U128,C0026846,0.0
U1027,C0011570,0.0
U662,C0020429,1.0
U875,C0042963,1.0
U135,C0026838,0.0
U440,C0700078,0.0
U114,C0020505,0.0
U172,C0030193,1.0
U744,C0040822,0.0
U262,C0020438,0.0
U129,C0015230,1.0
U126,C0020505,0.0
U661,C0231807,0.0
U62,C0476273,0.0
U274,C0020429,1.0
U690,C0018777,0.0
U534,C0020429,1.0
U346,C0030193,1.0
U58,C0030193,1.0
U103,C0013604,1.0
U613,C0270948,0.0
U319,C0237326,1.0
U602,C0030193,1.0
U860,C0152031,1.0
U1013,C0231791,0.0
U610,C0237326,0.0
U117,C0010200,1.0
U776,C0030193,1.0
U735,C0030193,1.0
U262,C0042571,1.0
U155,C0020429,1.0
U271,C0030193,1.0
U320,C1963137,0.0
U1006,C0152200,0.0
U183,C0018989,1.0
U260,C0030232,0.0
U211,C0237326,1.0
U208,C0032914,0.0
U382,C0020429,1.0
U778,C0013404,0.0
U689,C0015644,0.0
U665,C0018989,0.0
U372,C0018681,1.0
U592,C0034150,0.0
U66,C0271097,0.0
U845,C0003635,0.0
U98,C0476273,0.0
U263,C0015967,1.0
U403,C0237326,1.0
U1010,C0000737,1.0
U841,C0542476,1.0
U398,C0013421,0.0
U678,C0009806,1.0
U658,C0020429,1.0
U386,C0032914,0.0
U55,C0026838,0.0
U558,C0030193,1.0
U120,C0700590,0.0
U650,C0015672,1.0
U314,C0015967,1.0
U349,C0020429,1.0
U263,C0033774,1.0
U155,C0009398,0.0
U1034,C0003123,0.0
U603,C0003113,0.0
U39,C0039070,0.0
U554,C0542476,0.0
U991,C0020305,0.0
U394,C0032285,0.0
U258,C0009460,0.0
U262,C0011991,1.0
U206,C0030193,1.0
U134,C0085636,0.0
U635,C0020429,1.0
U635,C0040034,0.0
U838,C0020305,0.0
U467,C0002418,0.0
U216,C0013604,1.0
U132,C0006271,0.0
U214,C0018681,1.0
U508,C0022346,0.0
U435,C0002103,0.0
U860,C0018989,1.0
U800,C0035455,0.0
U963,C0020429,1.0
U679,C0020429,1.0
U30,C0022346,1.0
U747,C0029089,0.0
U941,C0030486,0.0
U238,C0020505,0.0
U926,C0015672,0.0
U709,C3714756,0.0
U106,C0240735,0.0
U550,C0746674,0.0
U265,C0018681,1.0
U639,C0700078,0.0
U920,C0037317,0.0
U566,C0011991,1.0
U62,C0034150,0.0
U823,C0000737,1.0
U95,C0033774,1.0
U672,C0746674,0.0
U454,C1836296,0.0
U765,C0020429,1.0
U734,C0020429,1.0
U545,C0032617,0.0
U251,C0162674,0.0
U48,C0042571,0.0
U923,C0234132,0.0
U887,C0003635,0.0
U639,C0030193,1.0
U892,C0009806,1.0
U479,C0034150,0.0
U121,C0037317,0.0
U380,C0011991,1.0
U469,C0034150,0.0
U173,C0010200,1.0
U158,C0042963,0.0
U247,C0035229,0.0
U387,C0000737,1.0
U393,C0030193,1.0
U104,C0018989,0.0
U195,C0020429,1.0
U135,C0020438,0.0
U26,C0027498,0.0
U728,C0003862,0.0
U758,C0030193,1.0
U1004,C0027498,0.0
U614,C0030193,1.0
U534,C0030193,1.0
U811,C2364082,0.0
U807,C0018681,1.0
U504,C0030193,1.0
U314,C0020429,1.0
U571,C0015672,0.0
U713,C0015967,1.0
U522,C0030193,1.0
U442,C0018989,1.0
U713,C0018681,1.0
